Elmalı,Damlıca,8.4
Damlıca,Kalecik,3.4
Kalecik,Serenli,9.4
Damlıca,Serenli,9.4
Elmalı,Serenli,7.5
Dikmetaş,Serenli,9.5
Dikmetaş,Kalecik,7
Dikmetaş,Beşpınar,8.7
Kalecik,Beşpınar,8.1
Beşpınar,Akyaka,3.4
Akyaka,Otlukbeli,7
Otlukbeli,Beşpınar,6.9
Beşpınar,Yazıbaşı,3.8
Yazıbaşı,Çağıllı,4.9
Çağıllı,Pınarcık,2.5
Pınarcık,Güçlü,3.4
Güçlü,Işıkova,3.3
Güçlü,Karayaşmak,4.5
Karayaşmak,Demirözü Merkez,4.7
Demirözü Merkez,Güvercindere,6.2
Karayaşmak,Güvercindere,4.8
Güvercindere,Devetaşı,6.1
Yazıbaşı,Devetaşı,7.6
Işıkova,Devetaşı,4.8
Devetaşı,Eymür,8.1
Eymür,Bayrampaşa,7.5
Bayrampaşa,Demirözü Merkez,6.9
Eymür,Demirözü Merkez,7.8
Eymür,Gökçedere,10.5
Gökçedere,Çimentepe,5.1
Çimentepe,Kavaklı,3.8
Kavaklı ,Yakupabdal,9.6
Gökçedere,Yakupabdal,8.7
Yakupabdal,Petekli,7.6
Karayaşmak,Yukarıpınarlı,6.8
Demirözü Merkez,Çakıröz,6.1
Demirözü Merkez,Çatalçeşme,6.7
Çatalçeşme,Çakıröz,3.3
Güçlü,Soğukgöze,7.7
Soğukgöze,Güzelce,2.1
Güzelce,Ozansu,4.1
Güzelce,Güllüce,3.5
Güllüce,Çamdere,3.9
Aşağıpınarlı,Çamdere,6
Aşağıpınarlı,Yukarıpınarlı,2.6
Aşağıpınarlı,Yelpınar,2.9
Çamdere,Yelpınar,3.2
Yelpınar,Sakızlı,7.8
Sakızlı,Saraycık,5
Saraycık,Kurugüney,2.3
Saraycık,Ozansu,8.1
Sakızlı,Sancaktepe,4.8
Sancaktepe,Söğütlü,4.6
Sancaktepe,Aşağıkışlak,5.3
Sancaktepe,Aksaçlı,5.4
Aksaçlı,Aşağıkışlak,3.6
Aksaçlı,Göldere,0.9
Göldere,Güder,3.2
Güder,Yukarıkışlak,4.8
Sarıhan,Yukarıkışlak,7.1
Sarıhan,Yeniköy,6.8
Yeniköy,Yaylalar,6
Yaylalar,Sırakayalar,4.6
Hacıoğlu,Sırakayalar,4.5
Hacıoğlu,Kopuz,2.6
Yeşilyurt,Kopuz,4.2
Yeşilyurt,Harmanözü,10.9
Demirışık,Harmanözü,7.1
Gençosman,Harmanözü,20.9
Gençosman,Örence,19.7
Demirkaş,Örence,5.8
Demirkaş,Sığırcı,3.5
Örence,Kop,14.6
Çatalçeşme,Kitre,11.5
Çerçi,Kitre,7.1
Çerçi,Balkaynak,27.5
Çayıryolu,Demirözü Merkez,11.1
Çayıryolu,Tomlacık,5.9
Çayıryolu,Manas,6
Çayıryolu,Çorak,6.8
Çorak,Oruçbeyli,2.4
Çorak,Kırkpınar,4.4
Kırıkpınar,Kemertaş,5.7
Kemertaş,Taşocağı,5.4
Kırıkpınar,Bayırtepe,6.7
Bayırtepe,Kavacık,6.6
Kavacık,Yolaltı,5.4
Danişment,Yolaltı,3.7
Danişment,Mutlu,5.7
Danişment,Gökpınar,8.6
Mutlu,Gökpınar,10.6
Mutlu,Kabaçayır,3.4
Kabaçayır,Gökpınar,5.4
Kabaçayır,Balca,3
Sancaktepe,Balca,7.3
Gençosman,Maden,10.5
Kıratlı,Maden,5.3
Kıratlı,Helva,6.6
Helva,Maden,12.7
Örence,Çalıdere,11.9
Çalıdere,Kop,8.8
Çalıdere,Akduran,12.6
Başçımağıl,Akduran,13.7
Başçımağıl,Ortaçımağıl,6.2
Aşağıçımağıl,Ortaçımağıl,7.3
Aşağıçımağıl,Ağören,9.9
Iğdır,Ağören,6.5
Iğdır,Petekkaya,13.9
Iğdır,Taşçılar,13.3
